Entity Name,Entity ID,Entity Type,Research Destination Test,Independent Knowledge Test,Relationship Convergence,Long-Term Significance,Better Parent Assessment,Entity Worthiness Score,Recommended Knowledge Role,Supporting Evidence,Justification,Final Recommendation,Human Decision
2019 U.S. Navy Ship Swarm Incidents,2019-us-navy-ship-swarm-incidents,case,borderline,borderline,fail,borderline,possible,61,Supporting Entity,1 inbound; 1 outbound; 1 related entities; 1 references,2019 U.S. Navy Ship Swarm Incidents scores 61/100. only 1 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #70 — The Age of Disclosure and Media Coverage of UAP.,Human review required,pending
2023 USS Jackson Tic Tac Incident,2023-uss-jackson-tic-tac-incident,case,borderline,borderline,fail,borderline,possible,64,Supporting Entity,2 inbound; 1 outbound; 2 related entities; 1 references,2023 USS Jackson Tic Tac Incident scores 64/100. only 2 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #72 — The USS Jackson Tic Tac Video.,Human review required,pending
2024 UK Military Airspace Incursions,uk-military-airspace-incursions-2024,case,pass,borderline,fail,borderline,possible,69,Supporting Entity,1 inbound; 2 outbound; 2 related entities; 1 references,"2024 UK Military Airspace Incursions scores 69/100. only 2 neighboring entities and 3 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #62 — Sky Intruders, Drones, and a Transmedium UFO Video.",Human review required,pending
2025 Yemen Hellfire UAP Video,2025-yemen-hellfire-uap-video,case,borderline,borderline,fail,pass,no,64,Destination Entity,1 inbound; 0 outbound; 1 related entities; 2 references,2025 Yemen Hellfire UAP Video scores 64/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its subject appears durable and significant within UAP research.,Human review required,pending
Alleged 1997 Peru Crash Encounter,1997-peru-crash-claim,case,borderline,fail,borderline,borderline,no,63,Destination Entity,5 inbound; 1 outbound; 4 related entities; 0 references,Alleged 1997 Peru Crash Encounter scores 63/100. only 4 neighboring entities and 4 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
Alleged 2009 Indonesia Craft Encounter,2009-indonesia-craft-claim,case,borderline,borderline,borderline,borderline,no,63,Destination Entity,4 inbound; 1 outbound; 3 related entities; 0 references,Alleged 2009 Indonesia Craft Encounter scores 63/100. only 3 neighboring entities and 4 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
Alleged Classified Autopsy Program,alien-autopsy-program-claims,case,borderline,borderline,fail,fail,no,58,Destination Entity,2 inbound; 0 outbound; 2 related entities; 0 references,Alleged Classified Autopsy Program scores 58/100. only 2 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
Alleged S-4 Facility,s4-facility-claim,case,pass,fail,pass,borderline,no,76,Destination Entity,14 inbound; 0 outbound; 14 related entities; 0 references,Alleged S-4 Facility scores 76/100. 14 meaningful neighboring entities and 5 relationship types converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Recommend destination status,pending
Area 51,area-51,case,pass,fail,pass,pass,no,81,Destination Entity,15 inbound; 0 outbound; 15 related entities; 0 references,Area 51 scores 81/100. 15 meaningful neighboring entities and 6 relationship types converge here; the current record has limited independent research depth; its subject appears durable and significant within UAP research.,Recommend destination status,pending
Big Sur Missile Film Claim,big-sur-missile-film-claim,case,borderline,fail,fail,fail,no,51,Destination Entity,1 inbound; 0 outbound; 1 related entities; 0 references,Big Sur Missile Film Claim scores 51/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
Calvine Ufo,calvine-ufo,case,fail,fail,fail,borderline,no,38,Supporting Entity,1 inbound; 0 outbound; 1 related entities; 0 references,Calvine Ufo scores 38/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Recommend reduced destination prominence,pending
Colares UFO Incidents,colares-ufo-incidents,case,borderline,borderline,fail,borderline,no,63,Destination Entity,1 inbound; 1 outbound; 2 related entities; 1 references,Colares UFO Incidents scores 63/100. only 2 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
David Adair Area 51 Engine Claim,1960s-area-51-engine-claim,case,borderline,fail,fail,borderline,no,59,Destination Entity,3 inbound; 0 outbound; 3 related entities; 0 references,David Adair Area 51 Engine Claim scores 59/100. only 3 neighboring entities and 3 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
Eglin Runway UAP Incident,eglin-runway-uap-incident,case,borderline,borderline,fail,pass,no,62,Destination Entity,1 inbound; 0 outbound; 1 related entities; 2 references,Eglin Runway UAP Incident scores 62/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its subject appears durable and significant within UAP research.,Human review required,pending
Kona Blue Proposed UAP Program,kona-blue-program,case,pass,borderline,fail,borderline,no,68,Destination Entity,1 inbound; 2 outbound; 3 related entities; 1 references,Kona Blue Proposed UAP Program scores 68/100. only 3 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
Large Disc UAP Video,2025-large-disc-uap-video,case,borderline,borderline,fail,borderline,possible,62,Supporting Entity,1 inbound; 1 outbound; 1 related entities; 1 references,Large Disc UAP Video scores 62/100. only 1 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #79 — The Large Disc UAP Video.,Human review required,pending
Malmstrom Missile Incident,malmstrom-missile-incident,case,borderline,fail,fail,borderline,no,56,Destination Entity,1 inbound; 0 outbound; 1 related entities; 0 references,Malmstrom Missile Incident scores 56/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
Nazca Mummies,nazca-mummies,case,fail,fail,fail,fail,no,34,Supporting Entity,1 inbound; 0 outbound; 1 related entities; 0 references,Nazca Mummies scores 34/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Recommend reduced destination prominence,pending
Nuclear Facility Uap Incidents,nuclear-facility-uap-incidents,case,fail,fail,fail,borderline,no,38,Supporting Entity,1 inbound; 0 outbound; 1 related entities; 0 references,Nuclear Facility Uap Incidents scores 38/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Recommend reduced destination prominence,pending
Queensland Saucer Nests,queensland-saucer-nests,case,borderline,borderline,fail,borderline,possible,61,Supporting Entity,1 inbound; 1 outbound; 1 related entities; 1 references,Queensland Saucer Nests scores 61/100. only 1 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #63 — Mystery Drones and Australia’s Saucer Nests.,Human review required,pending
Rendlesham Forest Incident,rendlesham-forest-incident,case,borderline,fail,fail,pass,no,62,Destination Entity,3 inbound; 0 outbound; 3 related entities; 0 references,Rendlesham Forest Incident scores 62/100. only 3 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its subject appears durable and significant within UAP research.,Human review required,pending
Roswell Incident,roswell-incident,case,pass,fail,pass,pass,no,72,Destination Entity,7 inbound; 0 outbound; 7 related entities; 0 references,Roswell Incident scores 72/100. 7 meaningful neighboring entities and 5 relationship types converge here; the current record has limited independent research depth; its subject appears durable and significant within UAP research.,Recommend destination status,pending
September 2025 House UAP Hearing,2025-house-uap-hearing,case,borderline,borderline,fail,pass,no,64,Destination Entity,1 inbound; 0 outbound; 1 related entities; 2 references,September 2025 House UAP Hearing scores 64/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its subject appears durable and significant within UAP research.,Human review required,pending
Skinwalker Ranch,skinwalker-ranch,case,pass,fail,pass,borderline,no,70,Destination Entity,9 inbound; 0 outbound; 9 related entities; 0 references,Skinwalker Ranch scores 70/100. 9 meaningful neighboring entities and 4 relationship types converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Recommend destination status,pending
South Pole Technology Claims,south-pole-technology-claims,case,pass,borderline,borderline,pass,no,66,Destination Entity,3 inbound; 1 outbound; 3 related entities; 0 references,South Pole Technology Claims scores 66/100. only 3 neighboring entities and 4 relationship types currently converge here; the current record has limited independent research depth; its subject appears durable and significant within UAP research.,Human review required,pending
Soviet and Russian Military UFO Investigations,russian-military-ufo-investigation,case,borderline,borderline,fail,borderline,no,63,Destination Entity,2 inbound; 0 outbound; 2 related entities; 0 references,Soviet and Russian Military UFO Investigations scores 63/100. only 2 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
Syria Uap 2021,syria-uap-2021,case,fail,fail,fail,pass,no,43,Supporting Entity,3 inbound; 0 outbound; 3 related entities; 0 references,Syria Uap 2021 scores 43/100. only 3 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its subject appears durable and significant within UAP research.,Recommend reduced destination prominence,pending
Twentynine Palms Triangle Incident,twentynine-palms-triangle-incident,case,borderline,borderline,fail,borderline,no,62,Destination Entity,2 inbound; 0 outbound; 2 related entities; 0 references,Twentynine Palms Triangle Incident scores 62/100. only 2 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
Vandenberg Red Square UAP Incident,vandenberg-red-square-uap,case,borderline,borderline,fail,borderline,possible,59,Supporting Entity,1 inbound; 1 outbound; 1 related entities; 1 references,Vandenberg Red Square UAP Incident scores 59/100. only 1 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #71 — The Vandenberg Red Square UAP.,Human review required,pending
Varginha Ufo Incident,varginha-ufo-incident,case,fail,fail,fail,borderline,no,38,Supporting Entity,1 inbound; 0 outbound; 1 related entities; 0 references,Varginha Ufo Incident scores 38/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Recommend reduced destination prominence,pending
World War II Foo Fighter Reports,world-war-ii-foo-fighters,case,borderline,borderline,fail,borderline,no,59,Destination Entity,1 inbound; 1 outbound; 2 related entities; 0 references,World War II Foo Fighter Reports scores 59/100. only 2 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated.,Human review required,pending
2025 produced new public witnesses and whistleblowers,claim-2025-produced-new-public-witnesses-and-whistleblowers,claim,fail,borderline,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"2025 produced new public witnesses and whistleblowers scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #103 — 2025 Year in Review — Progress, Evidence, and Pushback.",Recommend reduced destination prominence,pending
A 1982 UAP incident allegedly affected nuclear launch systems,claim-a-1982-uap-incident-allegedly-affected-nuclear-launch-systems,claim,fail,borderline,fail,fail,yes,20,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"A 1982 UAP incident allegedly affected nuclear launch systems scores 20/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #107 — Soviet UFO Programs — SETKA, Thread 3, and Nuclear Incursions.",Recommend reduced destination prominence,pending
A classified House briefing with the Defense Department inspector general provided limited new information.,claim-weaponized-40-1,claim,fail,fail,fail,fail,yes,12,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,A classified House briefing with the Defense Department inspector general provided limited new information. scores 12/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #40 — Tim Burchett — The SCIF Briefing and Congressional UFO Oversight.,Recommend reduced destination prominence,pending
A cluster of unknown objects repeatedly approached a U.S. warship near Japan.,claim-weaponized-41-3,claim,fail,fail,fail,fail,yes,12,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,A cluster of unknown objects repeatedly approached a U.S. warship near Japan. scores 12/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #41 — Military Engagements with Unidentified Aerial Intruders.,Recommend reduced destination prominence,pending
A former defense-industry executive privately described a recovered craft and surviving occupant to George Knapp.,claim-weaponized-6-1,claim,fail,fail,fail,fail,yes,12,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"A former defense-industry executive privately described a recovered craft and surviving occupant to George Knapp. scores 12/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #6 — The Defense Executive, a Recovered Craft, and a Living Occupant.",Recommend reduced destination prominence,pending
A medical team may have treated an injured non-human being,claim-a-medical-team-may-have-treated-an-injured-non-human-being,claim,fail,borderline,fail,fail,yes,20,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,A medical team may have treated an injured non-human being scores 20/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #105 — James Fox — New Varginha Witnesses and the Continuing Cover-Up.,Recommend reduced destination prominence,pending
A military police blotter related to the Vandenberg Red Square event was released publicly,claim-vandenberg-red-square-blotter-released,claim,fail,fail,fail,fail,yes,17,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,A military police blotter related to the Vandenberg Red Square event was released publicly scores 17/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #71 — The Vandenberg Red Square UAP.,Recommend reduced destination prominence,pending
A U.S. Air Force aircraft reportedly encountered an unexplained formation over the Gulf of Mexico.,claim-weaponized-35-2,claim,fail,fail,fail,fail,yes,12,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"A U.S. Air Force aircraft reportedly encountered an unexplained formation over the Gulf of Mexico. scores 12/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #35 — UFO History, Gulf of Mexico Objects, and Congressional Stakes.",Recommend reduced destination prominence,pending
AARO assessed that some cases were neither friendly nor adversary technology,claim-aaro-assessed-that-some-cases-were-neither-friendly-nor-adversary-technology,claim,fail,borderline,fail,fail,yes,15,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,AARO assessed that some cases were neither friendly nor adversary technology scores 15/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #110 — Chris Sharp — Former AARO Deputy Director Describes Unexplained Cases.,Recommend reduced destination prominence,pending
AARO identified roughly 40 to 50 cases with bizarre unexplained capabilities,claim-aaro-identified-roughly-40-to-50-cases-with-bizarre-unexplained-capabilities,claim,fail,borderline,fail,fail,yes,17,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,AARO identified roughly 40 to 50 cases with bizarre unexplained capabilities scores 17/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #110 — Chris Sharp — Former AARO Deputy Director Describes Unexplained Cases.,Recommend reduced destination prominence,pending
AARO presented video of an unresolved object recorded by a Department of Defense sensor platform in the Middle East.,claim-weaponized-14-2,claim,fail,fail,fail,fail,yes,0,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,AARO presented video of an unresolved object recorded by a Department of Defense sensor platform in the Middle East. scores 0/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #14 — AARO Testifies to the Senate — Sean Kirkpatrick and the Middle East UAP.,Recommend reduced destination prominence,pending
AARO withheld videos of its strongest unresolved cases,claim-aaro-withheld-videos-of-its-strongest-unresolved-cases,claim,fail,borderline,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,AARO withheld videos of its strongest unresolved cases scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #110 — Chris Sharp — Former AARO Deputy Director Describes Unexplained Cases.,Recommend reduced destination prominence,pending
AARO’s performance should be measured against the investigative mandate established by Congress.,claim-weaponized-33-3,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"AARO’s performance should be measured against the investigative mandate established by Congress. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #33 — AARO, Crash Retrievals, and the Dark Side of the UFO Mystery.",Recommend reduced destination prominence,pending
AARO’s public report did not satisfy demands for substantive transparency or evidence.,claim-weaponized-39-1,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,AARO’s public report did not satisfy demands for substantive transparency or evidence. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #39 — AARO’s Report and the Lacatski Revelations.,Recommend reduced destination prominence,pending
AAWSAP assembled one of the largest government-supported databases of UFO cases and incidents.,claim-weaponized-38-1,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,AAWSAP assembled one of the largest government-supported databases of UFO cases and incidents. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #38 — James Lacatski and Colm Kelleher — Inside AAWSAP.,Recommend reduced destination prominence,pending
AAWSAP built a large UFO data warehouse,claim-aawsap-built-a-large-ufo-data-warehouse,claim,fail,borderline,fail,fail,yes,25,Contextual Metadata,1 inbound; 1 outbound; 1 related entities; 1 references,"AAWSAP built a large UFO data warehouse scores 25/100. only 1 neighboring entities and 2 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #114 — Dr. James Lacatski — This Is UFO Disclosure, As Far As It Can Go.",Recommend reduced destination prominence,pending
AAWSAP employed approximately fifty full-time staff and investigators during the DIA-funded program.,claim-weaponized-12-1,claim,fail,fail,fail,fail,yes,12,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"AAWSAP employed approximately fifty full-time staff and investigators during the DIA-funded program. scores 12/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #12 — Colm Kelleher Part Two — AAWSAP, the Hitchhiker Effect, and Crash Retrievals.",Recommend reduced destination prominence,pending
AAWSAP examined physics and engineering questions associated with reported UFO behavior.,claim-weaponized-38-3,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,AAWSAP examined physics and engineering questions associated with reported UFO behavior. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #38 — James Lacatski and Colm Kelleher — Inside AAWSAP.,Recommend reduced destination prominence,pending
AAWSAP investigators reported hitchhiker effects,claim-aawsap-investigators-reported-hitchhiker-effects,claim,fail,borderline,fail,fail,yes,19,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"AAWSAP investigators reported hitchhiker effects scores 19/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #97 — James Lacatski on Disclosure, Hitchhikers, and the Tic Tac — Part 2.",Recommend reduced destination prominence,pending
AAWSAP records contain substantial findings,claim-aawsap-records-contain-substantial-findings,claim,fail,borderline,fail,fail,yes,15,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"AAWSAP records contain substantial findings scores 15/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #96 — James Lacatski on AAWSAP, Kona Blue, and a Recovered Craft — Part 1.",Recommend reduced destination prominence,pending
AAWSAP represented a major government-funded effort to investigate UFO/UAP reports and associated effects.,claim-weaponized-5-3,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,AAWSAP represented a major government-funded effort to investigate UFO/UAP reports and associated effects. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #5 — Colm Kelleher — AAWSAP and Scientific Anomaly Research.,Recommend reduced destination prominence,pending
Abby White presents firsthand or professional experience relevant to the episode’s central subject.,claim-merged-6-1,claim,fail,borderline,fail,fail,yes,19,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 2 references,Abby White presents firsthand or professional experience relevant to the episode’s central subject. scores 19/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath MERGED Episode #6 — Researching UAP in the Galileo Project.,Recommend reduced destination prominence,pending
Adam Frank presents firsthand or professional experience relevant to the episode’s central subject.,claim-merged-18-1,claim,fail,borderline,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,Adam Frank presents firsthand or professional experience relevant to the episode’s central subject. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath MERGED Episode #18 — UAP Research or SETI: Who Finds NHI First?.,Recommend reduced destination prominence,pending
Additional Eglin triangle details were reported,claim-eglin-triangle-details-expanded,claim,fail,borderline,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,"Additional Eglin triangle details were reported scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #93 — Mystery Drones, Eglin’s Black Triangle, and Chris Sharp.",Recommend reduced destination prominence,pending
Additional witness testimony led Corbell and Knapp to keep the incident classified as an active investigation.,claim-weaponized-19-4,claim,fail,fail,fail,fail,yes,16,Contextual Metadata,0 inbound; 1 outbound; 1 related entities; 1 references,Additional witness testimony led Corbell and Knapp to keep the incident classified as an active investigation. scores 16/100. only 1 neighboring entities and 1 relationship types currently converge here; the current record has limited independent research depth; its long-term significance is not yet strongly demonstrated; its information may be naturally encountered beneath WEAPONIZED Episode #19 — The Mojave Triangle Investigation Continues — New Marine Testimony.,Recommend reduced destination prominence,pending
