confidence,decision,episodeId,episodeNumber,episodeTitle,existingRelationship,matchedSignals,proposedTopic,rationale,series,supportingEvidence,triggeringEvidence
high,proposed,2025-weaponized-episode-87,87,Alien Bodies and Technology — The Lost Tapes of UFO Whistleblower Col. Corso,False,histor(?:y|ical|iography); roswell,UFO History,,WEAPONIZED,"Jeremy Corbell and George Knapp revisit Philip J. Corso’s claims about Roswell materials, Pentagon technology transfer, and reverse engineering through interviews recorded before publication of The Day After Roswell.",
high,proposed,2026-weaponized-episode-107,107,"Soviet UFO Programs — SETKA, Thread 3, and Nuclear Incursions",False,soviet ufo,UFO History,,WEAPONIZED,"George Knapp revisits his 1990s reporting from Russia and releases documents describing Soviet UFO investigations, including the SETKA collection program, Thread 3 technology analysis, pilot and satellite cases, and an alleged 1982 intrusion at a Ukrainian nuclear missile base.",
,rejected,2022-need-to-know-episode-11,11,UFOs and Rock Stars,,,UFO History,Historical context is incidental or the episode is centered on a single contemporary issue rather than UFO history as a subject.,Need to Know,,"Ross Coulthart and Bryce Zabel explore intersections between popular music and UFO culture, focusing on Tom DeLonge’s UAP advocacy and John Lennon’s reported 1974 sighting."
,rejected,2022-need-to-know-episode-13,13,Bryce’s Rant,,,UFO History,Historical context is incidental or the episode is centered on a single contemporary issue rather than UFO history as a subject.,Need to Know,,"In a short standalone commentary, Bryce Zabel critiques recurring dysfunction within modern ufology and calls for more disciplined, constructive, and evidence-focused public discussion."
,rejected,2022-need-to-know-episode-17,17,Beyond Nimitz,,,UFO History,Historical context is incidental or the episode is centered on a single contemporary issue rather than UFO history as a subject.,Need to Know,,Ross Coulthart and Bryce Zabel revisit the 2004 Nimitz encounter through the documentary work that helped preserve witness testimony and broaden public understanding of the case beyond the best-known cockpit accounts.
,rejected,2022-need-to-know-episode-22,22,Witness to a UFO — In the Middle of Battle in Ukraine,,,UFO History,Historical context is incidental or the episode is centered on a single contemporary issue rather than UFO history as a subject.,Need to Know,,"Ross Coulthart and Bryce Zabel examine Witness to a UFO — In the Middle of Battle in Ukraine, connecting the episode’s central subject to current UAP reporting, institutional transparency, and the longer history of the phenomenon while distinguishing established information from unresolved claims."
,rejected,2022-need-to-know-episode-23,23,Core Secret,,,UFO History,Historical context is incidental or the episode is centered on a single contemporary issue rather than UFO history as a subject.,Need to Know,,"Ross Coulthart and Bryce Zabel examine Core Secret, connecting the episode’s central subject to current UAP reporting, institutional transparency, and the longer history of the phenomenon while distinguishing established information from unresolved claims."
,rejected,2022-need-to-know-episode-24,24,Late UAP Report!,,,UFO History,Historical context is incidental or the episode is centered on a single contemporary issue rather than UFO history as a subject.,Need to Know,,"Ross Coulthart and Bryce Zabel examine Late UAP Report!, connecting the episode’s central subject to current UAP reporting, institutional transparency, and the longer history of the phenomenon while distinguishing established information from unresolved claims."
,rejected,2022-need-to-know-episode-25,25,The NY Times' Five Year UFO Anniversary,,,UFO History,Historical context is incidental or the episode is centered on a single contemporary issue rather than UFO history as a subject.,Need to Know,,"Ross Coulthart and Bryce Zabel examine The NY Times' Five Year UFO Anniversary, connecting the episode’s central subject to current UAP reporting, institutional transparency, and the longer history of the phenomenon while distinguishing established information from unresolved claims."
,rejected,2023-need-to-know-episode-26,26,The NDAA Is Law!,,,UFO History,Historical context is incidental or the episode is centered on a single contemporary issue rather than UFO history as a subject.,Need to Know,,"Ross Coulthart and Bryce Zabel examine The NDAA Is Law!, connecting the episode’s central subject to current UAP reporting, institutional transparency, and the longer history of the phenomenon while distinguishing established information from unresolved claims."
,rejected,2023-need-to-know-episode-27,27,The Report Is Out!,,,UFO History,Historical context is incidental or the episode is centered on a single contemporary issue rather than UFO history as a subject.,Need to Know,,"Ross Coulthart and Bryce Zabel examine The Report Is Out!, connecting the episode’s central subject to current UAP reporting, institutional transparency, and the longer history of the phenomenon while distinguishing established information from unresolved claims."
,rejected,2023-need-to-know-episode-28,28,Chinese Balloon Misdirect,,,UFO History,Historical context is incidental or the episode is centered on a single contemporary issue rather than UFO history as a subject.,Need to Know,,"Ross Coulthart and Bryce Zabel examine Chinese Balloon Misdirect, connecting the episode’s central subject to current UAP reporting, institutional transparency, and the longer history of the phenomenon while distinguishing established information from unresolved claims."
,rejected,2023-need-to-know-episode-29,29,99 Chinese Balloons?,,,UFO History,Historical context is incidental or the episode is centered on a single contemporary issue rather than UFO history as a subject.,Need to Know,,"Ross Coulthart and Bryce Zabel examine 99 Chinese Balloons?, connecting the episode’s central subject to current UAP reporting, institutional transparency, and the longer history of the phenomenon while distinguishing established information from unresolved claims."
,rejected,2023-need-to-know-episode-30,30,UAP: The Ides of March,,,UFO History,Historical context is incidental or the episode is centered on a single contemporary issue rather than UFO history as a subject.,Need to Know,,"Ross Coulthart and Bryce Zabel examine UAP: The Ides of March, connecting the episode’s central subject to current UAP reporting, institutional transparency, and the longer history of the phenomenon while distinguishing established information from unresolved claims."
medium,proposed,2017-somewhere-in-the-skies-episode-11,11,"Erica Lukes: Dugway, Skinwalker Ranch, and UFOs over Utah",True,skinwalker; dugway,Historical UFO Cases,,Somewhere in the Skies,"Ryan Sprague presents a case investigation focused on Dugway, Skinwalker Ranch, and UFOs over Utah. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.",
medium,proposed,2017-somewhere-in-the-skies-episode-19,19,Ben Mezrich: The 37th Parallel,True,37th parallel,Historical UFO Cases,,Somewhere in the Skies,Ryan Sprague presents a case investigation focused on The 37th Parallel. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.,
medium,proposed,2017-somewhere-in-the-skies-episode-24,24,Chris Garetano: Dark Files and the Montauk Project,True,montauk,Historical UFO Cases,,Somewhere in the Skies,Ryan Sprague presents a case investigation focused on Dark Files and the Montauk Project. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.,
medium,proposed,2017-somewhere-in-the-skies-episode-25,25,Seth Breedlove: Invasion on Chestnut Ridge,True,chestnut ridge,Historical UFO Cases,,Somewhere in the Skies,Ryan Sprague presents a case investigation focused on Invasion on Chestnut Ridge. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.,
medium,proposed,2017-somewhere-in-the-skies-episode-30,30,The Andreasson Abduction,True,andreasson,Historical UFO Cases,,Somewhere in the Skies,Ryan Sprague presents a case investigation focused on The Andreasson Abduction. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.,
medium,proposed,2017-somewhere-in-the-skies-episode-7,7,Nick Redfern: The Roswell UFO Conspiracy,True,roswell,Historical UFO Cases,,Somewhere in the Skies,Ryan Sprague presents a case investigation focused on The Roswell UFO Conspiracy. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.,
low,proposed,2017-somewhere-in-the-skies-episode-8,8,Jane Kyle: UFOs Over Texas,True,,Historical UFO Cases,,Somewhere in the Skies,Ryan Sprague presents a case investigation focused on UFOs Over Texas. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.,
high,proposed,2022-need-to-know-episode-17,17,Beyond Nimitz,False,nimitz,Historical UFO Cases,,Need to Know,Ross Coulthart and Bryce Zabel revisit the 2004 Nimitz encounter through the documentary work that helped preserve witness testimony and broaden public understanding of the case beyond the best-known cockpit accounts.,
high,proposed,2025-weaponized-episode-102,102,Jacques Vallée — The Bizarre Nature of UFOs,False,trinity,Historical UFO Cases,,WEAPONIZED,"Jacques Vallée joins Jeremy Corbell and George Knapp for a wide-ranging discussion of UFO history, Project Blue Book, remote viewing, NIDS, AAWSAP, crash retrievals, the Trinity case, congressional secrecy, science, and paths forward.",
high,proposed,2025-weaponized-episode-87,87,Alien Bodies and Technology — The Lost Tapes of UFO Whistleblower Col. Corso,False,roswell; incident,Historical UFO Cases,,WEAPONIZED,"Jeremy Corbell and George Knapp revisit Philip J. Corso’s claims about Roswell materials, Pentagon technology transfer, and reverse engineering through interviews recorded before publication of The Day After Roswell.",
high,proposed,2026-weaponized-episode-105,105,James Fox — New Varginha Witnesses and the Continuing Cover-Up,False,varginha; incident,Historical UFO Cases,,WEAPONIZED,"Filmmaker James Fox discusses new witnesses connected to the 1996 Varginha incident, alleged intimidation, efforts to locate medical personnel and video evidence, and a Washington press event intended to bring firsthand testimony before the public and Congress.",
high,proposed,2026-weaponized-episode-107,107,"Soviet UFO Programs — SETKA, Thread 3, and Nuclear Incursions",False,incident,Historical UFO Cases,,WEAPONIZED,"George Knapp revisits his 1990s reporting from Russia and releases documents describing Soviet UFO investigations, including the SETKA collection program, Thread 3 technology analysis, pilot and satellite cases, and an alleged 1982 intrusion at a Ukrainian nuclear missile base.",
,rejected,2023-merged-episode-11,11,Beyond the Stigma: A UAP Call to Action,,,Historical UFO Cases,The record does not establish a sufficiently bounded historical UFO case as the episode's substantive focus.,MERGED,,"The 2004 Nimitz encounter, pilot credibility, public stigma, and the need for systematic reporting and investigation."
,rejected,2023-merged-episode-14,14,Pilots & Witnesses: Systematic UAP Reporting for Pilots,,,Historical UFO Cases,The record does not establish a sufficiently bounded historical UFO case as the episode's substantive focus.,MERGED,,"A pilot-to-pilot discussion of the Nimitz encounter, public testimony, and building a safer reporting process."
,rejected,2023-merged-episode-19,19,Vandenberg “Red Square” Witness Speaks for First Time,,,Historical UFO Cases,The record does not establish a sufficiently bounded historical UFO case as the episode's substantive focus.,MERGED,,"A former Air Force security officer recounts a 2004 Vandenberg incident, preserved records, and later AARO interactions."
,rejected,2022-need-to-know-episode-20,20,7NEWS Spotlight Special Edition,,,Historical UFO Cases,The record does not establish a sufficiently bounded historical UFO case as the episode's substantive focus.,Need to Know,,"This special edition follows Ross Coulthart and Bryce Zabel as they examine the UAP issue through interviews with military witnesses, researchers, and media figures, including Ryan Graves, Jeremy Corbell, and Garry Nolan."
,rejected,2022-need-to-know-episode-5,5,Roswell and Beyond,,,Historical UFO Cases,The record does not establish a sufficiently bounded historical UFO case as the episode's substantive focus.,Need to Know,,Bryce Zabel and Ross Coulthart trace the emergence of modern UFO history from World War II foo fighter reports and the 1946 Scandinavian ghost rockets through the flying-saucer wave of 1947 and the Roswell incident.
,rejected,2026-need-to-know-episode-72,72,UFO Hail Mary,,,Historical UFO Cases,The record does not establish a sufficiently bounded historical UFO case as the episode's substantive focus.,Need to Know,,"Bryce Zabel and Richard Dolan examine UFO Hail Mary, connecting the episode’s central subject to current UAP reporting, institutional transparency, and the longer history of the phenomenon while distinguishing established information from unresolved claims."
,rejected,2025-weaponized-episode-100,100,Creatures From Another World? The UFO–Cryptid Connection,,,Historical UFO Cases,The record does not establish a sufficiently bounded historical UFO case as the episode's substantive focus.,WEAPONIZED,,"Author and filmmaker David Paulides discusses reported links among UFOs, Sasquatch, disappearances, portals, Skinwalker Ranch, and evidence presented in American Sasquatch: Man, Myth, or Monster."
,rejected,2026-weaponized-episode-114,114,"Dr. James Lacatski — This Is UFO Disclosure, As Far As It Can Go",,,Historical UFO Cases,The record does not establish a sufficiently bounded historical UFO case as the episode's substantive focus.,WEAPONIZED,,"James Lacatski discusses AAWSAP’s creation, data archive, investigations of UAP and paranormal phenomena, the limits of government knowledge, and his view that published books may be the closest the public comes to the unreleased program files."
,rejected,2023-weaponized-episode-12,12,"Colm Kelleher Part Two — AAWSAP, the Hitchhiker Effect, and Crash Retrievals",,,Historical UFO Cases,The record does not establish a sufficiently bounded historical UFO case as the episode's substantive focus.,WEAPONIZED,,"In the second half of the Colm Kelleher interview, the former AAWSAP project manager discusses anomalous effects associated with Skinwalker Ranch, the program’s technology objectives, and his stated knowledge of UFO crash-retrieval efforts."
,rejected,2023-weaponized-episode-17,17,"Robbie Williams — Music, Unusual Experiences, and Skinwalker Ranch",,,Historical UFO Cases,The record does not establish a sufficiently bounded historical UFO case as the episode's substantive focus.,WEAPONIZED,,"Robbie Williams discusses his career, personal challenges, media scrutiny, unusual experiences, a visit to Skinwalker Ranch, and future creative projects."
,rejected,2023-weaponized-episode-18,18,The Mojave Triangle UAP — Marine Witnesses at Twentynine Palms,,,Historical UFO Cases,The record does not establish a sufficiently bounded historical UFO case as the episode's substantive focus.,WEAPONIZED,,"Corbell and Knapp present videos, photographs, and witness accounts from Marines who reported a large triangular object over the Twentynine Palms training base in April 2021."
,rejected,2023-weaponized-episode-19,19,The Mojave Triangle Investigation Continues — New Marine Testimony,,,Historical UFO Cases,The record does not establish a sufficiently bounded historical UFO case as the episode's substantive focus.,WEAPONIZED,,"Following the initial Twentynine Palms release, Corbell and Knapp provide additional Marine interviews, respond to flare explanations, and explain why they consider the Mojave Triangle incident an open investigation."
medium,proposed,2017-somewhere-in-the-skies-episode-33,33,Michael Huntington: Childhood UFO Encounters,True,witness(?:es)?; account,Witness Accounts,,Somewhere in the Skies,Ryan Sprague presents a case investigation focused on Childhood UFO Encounters. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.,
medium,proposed,2017-somewhere-in-the-skies-episode-34,34,Witness Accounts: Volume One,True,witness(?:es)?; account,Witness Accounts,,Somewhere in the Skies,Ryan Sprague presents a witness account focused on Volume One. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.,
high,proposed,2022-need-to-know-episode-17,17,Beyond Nimitz,False,witness(?:es)?; account,Witness Accounts,,Need to Know,Ross Coulthart and Bryce Zabel revisit the 2004 Nimitz encounter through the documentary work that helped preserve witness testimony and broaden public understanding of the case beyond the best-known cockpit accounts.,
high,proposed,2022-need-to-know-episode-20,20,7NEWS Spotlight Special Edition,False,witness(?:es)?,Witness Accounts,,Need to Know,"This special edition follows Ross Coulthart and Bryce Zabel as they examine the UAP issue through interviews with military witnesses, researchers, and media figures, including Ryan Graves, Jeremy Corbell, and Garry Nolan.",
high,proposed,2022-need-to-know-episode-22,22,Witness to a UFO — In the Middle of Battle in Ukraine,False,witness(?:es)?,Witness Accounts,,Need to Know,"Ross Coulthart and Bryce Zabel examine Witness to a UFO — In the Middle of Battle in Ukraine, connecting the episode’s central subject to current UAP reporting, institutional transparency, and the longer history of the phenomenon while distinguishing established information from unresolved claims.",
medium,proposed,2023-merged-episode-11,11,Beyond the Stigma: A UAP Call to Action,False,,Witness Accounts,,MERGED,"The 2004 Nimitz encounter, pilot credibility, public stigma, and the need for systematic reporting and investigation.",
medium,proposed,2023-merged-episode-14,14,Pilots & Witnesses: Systematic UAP Reporting for Pilots,False,witness(?:es)?,Witness Accounts,,MERGED,"A pilot-to-pilot discussion of the Nimitz encounter, public testimony, and building a safer reporting process.",
high,proposed,2023-merged-episode-19,19,Vandenberg “Red Square” Witness Speaks for First Time,False,witness(?:es)?; recounts?; speaks for first time,Witness Accounts,,MERGED,"A former Air Force security officer recounts a 2004 Vandenberg incident, preserved records, and later AARO interactions.",
medium,proposed,2023-merged-episode-2,2,Pilot’s Shocking UAP Sightings & What This Means For Aviation,False,pilot testimony,Witness Accounts,,MERGED,"Pilot testimony, radar audio, reporting barriers, and aviation safety.",
medium,proposed,2023-merged-episode-4,4,Pilot Breaks the Silence on UAP Encounters,False,describes? .*encounter,Witness Accounts,,MERGED,"A veteran commercial pilot describes repeated UAP encounters, reporting stigma, and flight-safety implications.",
medium,proposed,2023-merged-episode-5,5,Decoding UAP Sightings: Insights from a 747 Pilot,False,,Witness Accounts,,MERGED,"A 747 captain and aviation photographer reviews unexplained observations, imagery, and pilot reporting.",
high,proposed,2025-weaponized-episode-83,83,Storming the Silence — Dave Foley and the Fight for UAP Transparency,False,personal .*sighting; account,Witness Accounts,,WEAPONIZED,"Jeremy Corbell and George Knapp interview comedian and actor Dave Foley about his personal UFO sighting, his changing views, and the broader struggle over disinformation, whistleblower suppression, and media treatment of UAP.",
high,proposed,2025-weaponized-episode-90,90,The Reluctant UFO Whistleblower — Dylan Borland Tells All: Part 1,False,firsthand; recounts?,Witness Accounts,,WEAPONIZED,"Dylan Borland recounts his path from the U.S. Air Force into classified contractor work, an alleged firsthand encounter with UAP technology, and claimed threats, clearance manipulation, intimidation, and economic pressure.",
high,proposed,2025-weaponized-episode-91,91,Dylan Borland Unloads — The Truth About Legacy UFO Programs: Part 2,False,,Witness Accounts,,WEAPONIZED,"In the second part of the Dylan Borland interview, Borland expands on his allegations concerning legacy UAP programs, compartmented access, intimidation, and the nature of the technology and activity he says he encountered.",
high,proposed,2025-weaponized-episode-92,92,The UAP Witness That Didn’t Testify — Congress Wanted You to Hear This,False,witness(?:es)?,Witness Accounts,,WEAPONIZED,Jeremy Corbell and George Knapp interview a military veteran who had been expected to testify before Congress and who reports seeing a large craft hovering above a runway at Eglin Air Force Base before departing at extraordinary speed.,
high,proposed,2026-weaponized-episode-105,105,James Fox — New Varginha Witnesses and the Continuing Cover-Up,False,witness(?:es)?; firsthand,Witness Accounts,,WEAPONIZED,"Filmmaker James Fox discusses new witnesses connected to the 1996 Varginha incident, alleged intimidation, efforts to locate medical personnel and video evidence, and a Washington press event intended to bring firsthand testimony before the public and Congress.",
high,proposed,2026-weaponized-episode-106,106,Ryan “Neo” Bodenheimer — Four Pilot UAP Encounters,False,describes? .*encounter,Witness Accounts,,WEAPONIZED,"Retired Air Force lieutenant colonel and former Thunderbird Ryan Bodenheimer describes four aerial UAP encounters, including a close call, and explains why the observed objects did not resemble conventional aerodynamic craft.",
high,proposed,2026-weaponized-episode-120,120,Whitley Strieber — Transformation 2026 and the Meaning of Close Encounters,False,witness(?:es)?; account,Witness Accounts,,WEAPONIZED,"Whitley Strieber discusses Communion, his continuing interpretation of encounters with non-human beings, the impact his writing had on others with similar experiences, and how Transformation 2026 revisits childhood memories and possible implications for humanity.",
,rejected,2023-merged-episode-17,17,Asking Difficult Questions: Congressional Accountability on UAP,,,Witness Accounts,The record mentions testimony or witnesses but does not clearly establish that a first-person account is substantively presented or analyzed.,MERGED,,A Capitol Hill reporter describes interviewing lawmakers after the 2023 hearing and assessing congressional accountability.
,rejected,2017-somewhere-in-the-skies-episode-11,11,"Erica Lukes: Dugway, Skinwalker Ranch, and UFOs over Utah",,,Witness Accounts,The record mentions testimony or witnesses but does not clearly establish that a first-person account is substantively presented or analyzed.,Somewhere in the Skies,,"Ryan Sprague presents a case investigation focused on Dugway, Skinwalker Ranch, and UFOs over Utah. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references."
,rejected,2017-somewhere-in-the-skies-episode-19,19,Ben Mezrich: The 37th Parallel,,,Witness Accounts,The record mentions testimony or witnesses but does not clearly establish that a first-person account is substantively presented or analyzed.,Somewhere in the Skies,,Ryan Sprague presents a case investigation focused on The 37th Parallel. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.
,rejected,2017-somewhere-in-the-skies-episode-24,24,Chris Garetano: Dark Files and the Montauk Project,,,Witness Accounts,The record mentions testimony or witnesses but does not clearly establish that a first-person account is substantively presented or analyzed.,Somewhere in the Skies,,Ryan Sprague presents a case investigation focused on Dark Files and the Montauk Project. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.
,rejected,2017-somewhere-in-the-skies-episode-25,25,Seth Breedlove: Invasion on Chestnut Ridge,,,Witness Accounts,The record mentions testimony or witnesses but does not clearly establish that a first-person account is substantively presented or analyzed.,Somewhere in the Skies,,Ryan Sprague presents a case investigation focused on Invasion on Chestnut Ridge. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.
,rejected,2017-somewhere-in-the-skies-episode-29,29,Brian Bethel: Black Eyed Kid Phenomenon,,,Witness Accounts,The record mentions testimony or witnesses but does not clearly establish that a first-person account is substantively presented or analyzed.,Somewhere in the Skies,,Ryan Sprague presents a case investigation focused on Black Eyed Kid Phenomenon. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.
,rejected,2017-somewhere-in-the-skies-episode-30,30,The Andreasson Abduction,,,Witness Accounts,The record mentions testimony or witnesses but does not clearly establish that a first-person account is substantively presented or analyzed.,Somewhere in the Skies,,Ryan Sprague presents a case investigation focused on The Andreasson Abduction. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.
,rejected,2017-somewhere-in-the-skies-episode-5,5,Ruben Uriarte: UFOs Over Mexico and the Southwest,,,Witness Accounts,The record mentions testimony or witnesses but does not clearly establish that a first-person account is substantively presented or analyzed.,Somewhere in the Skies,,Ryan Sprague presents a case investigation focused on UFOs Over Mexico and the Southwest. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.
,rejected,2017-somewhere-in-the-skies-episode-7,7,Nick Redfern: The Roswell UFO Conspiracy,,,Witness Accounts,The record mentions testimony or witnesses but does not clearly establish that a first-person account is substantively presented or analyzed.,Somewhere in the Skies,,Ryan Sprague presents a case investigation focused on The Roswell UFO Conspiracy. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.
,rejected,2017-somewhere-in-the-skies-episode-8,8,Jane Kyle: UFOs Over Texas,,,Witness Accounts,The record mentions testimony or witnesses but does not clearly establish that a first-person account is substantively presented or analyzed.,Somewhere in the Skies,,Ryan Sprague presents a case investigation focused on UFOs Over Texas. This 2017 Somewhere in the Skies release is indexed with source-grounded topics and direct archive references.
,rejected,2025-weaponized-episode-101,101,Congressional UAP Champions on What Comes Next,,,Witness Accounts,The record mentions testimony or witnesses but does not clearly establish that a first-person account is substantively presented or analyzed.,WEAPONIZED,,"Representatives Anna Paulina Luna, Tim Burchett, and Eric Burlison discuss resistance to congressional oversight, blocked witness access, intimidation, the limits of public hearings, possible presidential action, and alternative strategies."
,rejected,2026-weaponized-episode-103,103,"2025 Year in Review — Progress, Evidence, and Pushback",,,Witness Accounts,The record mentions testimony or witnesses but does not clearly establish that a first-person account is substantively presented or analyzed.,WEAPONIZED,,"Jeremy Corbell and George Knapp review WEAPONIZED’s 2025 reporting, including new witnesses, released UAP imagery, congressional engagement, major books and films, mystery-drone incursions, and the organized pushback against UFO transparency."
