Destination Topic,Podcast Series,Episode Number,Episode Title,Episode ID,Current Topic Coverage Summary,Current Topic Strengths,Current Topic Gaps,Researcher Benefit Assessment,Topic Improvement Assessment,Unique Contribution Assessment,Coverage Gap Filled,Complementary Coverage Assessment,Redundancy Assessment,Topic Coverage Score,Improvement Category,Subject Relevance Test,Research Value Test,Case Inheritance Test,Research Value Explanation,Confidence Level,Final Recommendation,Human Decision,Reviewer Notes
UFO History,Somewhere in the Skies,24,Somewhere in the Skies Episode #24 — Chris Garetano: Dark Files and the Montauk Project,2017-somewhere-in-the-skies-episode-24,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique witness; unique investigator; unique evidence; historical context,,Adds complementary perspective,No material redundancy identified,17,Deepens existing research; Adds unique evidence; Adds unique witness; Adds unique investigator; Improves chronology,needs_review,fail,not_applicable,"This episode deepens the UFO History destination topic. it contributes unique witness, unique investigator, unique evidence. Topic Coverage Score 17/100 indicates little additional improvement. The candidate contributes unique witness, unique investigator, unique evidence; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,25,Somewhere in the Skies Episode #25 — Seth Breedlove: Invasion on Chestnut Ridge,2017-somewhere-in-the-skies-episode-25,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique witness; unique investigator; unique evidence; historical context,,Adds complementary perspective,No material redundancy identified,17,Deepens existing research; Adds unique evidence; Adds unique witness; Adds unique investigator; Improves chronology,needs_review,fail,not_applicable,"This episode deepens the UFO History destination topic. it contributes unique witness, unique investigator, unique evidence. Topic Coverage Score 17/100 indicates little additional improvement. The candidate contributes unique witness, unique investigator, unique evidence; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,26,Somewhere in the Skies Episode #26 — Karl Pfeiffer: The Science and Philosophy of the Paranormal,2017-somewhere-in-the-skies-episode-26,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique investigator; unique evidence; historical context,,No clear complementary contribution,Primarily redundant,0,Adds unique evidence; Adds unique investigator; Improves chronology; Primarily redundant,pass,fail,not_applicable,"This episode does not materially expand the UFO History destination topic. it contributes unique investigator, unique evidence, historical context; however, substantial existing coverage makes it primarily redundant. Topic Coverage Score 0/100 indicates little additional improvement. The candidate contributes unique investigator, unique evidence, historical context; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,29,Somewhere in the Skies Episode #29 — Brian Bethel: Black Eyed Kid Phenomenon,2017-somewhere-in-the-skies-episode-29,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique witness; unique investigator; unique evidence; historical context,,Adds complementary perspective,No material redundancy identified,17,Deepens existing research; Adds unique evidence; Adds unique witness; Adds unique investigator; Improves chronology,needs_review,fail,not_applicable,"This episode deepens the UFO History destination topic. it contributes unique witness, unique investigator, unique evidence. Topic Coverage Score 17/100 indicates little additional improvement. The candidate contributes unique witness, unique investigator, unique evidence; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,3,Somewhere in the Skies Episode #3 — Greg Eghigian: History of a Cultural Phenomenon,2017-somewhere-in-the-skies-episode-3,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique investigator; unique evidence; historical context,,No clear complementary contribution,Primarily redundant,0,Adds unique evidence; Adds unique investigator; Improves chronology; Primarily redundant,pass,fail,not_applicable,"This episode does not materially expand the UFO History destination topic. it contributes unique investigator, unique evidence, historical context; however, substantial existing coverage makes it primarily redundant. Topic Coverage Score 0/100 indicates little additional improvement. The candidate contributes unique investigator, unique evidence, historical context; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,30,Somewhere in the Skies Episode #30 — The Andreasson Abduction,2017-somewhere-in-the-skies-episode-30,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique witness; unique investigator; unique evidence; historical context,,Adds complementary perspective,No material redundancy identified,17,Deepens existing research; Adds unique evidence; Adds unique witness; Adds unique investigator; Improves chronology,needs_review,fail,not_applicable,"This episode deepens the UFO History destination topic. it contributes unique witness, unique investigator, unique evidence. Topic Coverage Score 17/100 indicates little additional improvement. The candidate contributes unique witness, unique investigator, unique evidence; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,31,Somewhere in the Skies Episode #31 — Robbie Graham: Silver Screen Saucers,2017-somewhere-in-the-skies-episode-31,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique evidence; historical context,,Adds complementary perspective,No material redundancy identified,11,Deepens existing research; Adds unique evidence; Improves chronology,needs_review,fail,not_applicable,"This episode deepens the UFO History destination topic. it contributes unique evidence, historical context. Topic Coverage Score 11/100 indicates little additional improvement. The candidate contributes unique evidence, historical context; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,33,Somewhere in the Skies Episode #33 — Michael Huntington: Childhood UFO Encounters,2017-somewhere-in-the-skies-episode-33,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique witness; unique investigator; unique evidence; historical context,,Adds complementary perspective,No material redundancy identified,17,Deepens existing research; Adds unique evidence; Adds unique witness; Adds unique investigator; Improves chronology,needs_review,fail,not_applicable,"This episode deepens the UFO History destination topic. it contributes unique witness, unique investigator, unique evidence. Topic Coverage Score 17/100 indicates little additional improvement. The candidate contributes unique witness, unique investigator, unique evidence; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,36,Somewhere in the Skies Episode #36 — UFO Roundtable: The Year In Review,2017-somewhere-in-the-skies-episode-36,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique evidence; historical context,,No clear complementary contribution,Primarily redundant,0,Adds unique evidence; Improves chronology; Primarily redundant,pass,fail,not_applicable,"This episode does not materially expand the UFO History destination topic. it contributes unique evidence, historical context; however, substantial existing coverage makes it primarily redundant. Topic Coverage Score 0/100 indicates little additional improvement. The candidate contributes unique evidence, historical context; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,5,Somewhere in the Skies Episode #5 — Ruben Uriarte: UFOs Over Mexico and the Southwest,2017-somewhere-in-the-skies-episode-5,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique witness; unique investigator; unique evidence; historical context,,Adds complementary perspective,No material redundancy identified,17,Deepens existing research; Adds unique evidence; Adds unique witness; Adds unique investigator; Improves chronology,needs_review,fail,not_applicable,"This episode deepens the UFO History destination topic. it contributes unique witness, unique investigator, unique evidence. Topic Coverage Score 17/100 indicates little additional improvement. The candidate contributes unique witness, unique investigator, unique evidence; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,7,Somewhere in the Skies Episode #7 — Nick Redfern: The Roswell UFO Conspiracy,2017-somewhere-in-the-skies-episode-7,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique witness; unique investigator; unique evidence; historical context,,Adds complementary perspective,No material redundancy identified,17,Deepens existing research; Adds unique evidence; Adds unique witness; Adds unique investigator; Improves chronology,pass,fail,not_applicable,"This episode deepens the UFO History destination topic. it contributes unique witness, unique investigator, unique evidence. Topic Coverage Score 17/100 indicates little additional improvement. The candidate contributes unique witness, unique investigator, unique evidence; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,8,Somewhere in the Skies Episode #8 — Jane Kyle: UFOs Over Texas,2017-somewhere-in-the-skies-episode-8,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique witness; unique investigator; unique evidence; historical context,,Adds complementary perspective,No material redundancy identified,17,Deepens existing research; Adds unique evidence; Adds unique witness; Adds unique investigator; Improves chronology,needs_review,fail,not_applicable,"This episode deepens the UFO History destination topic. it contributes unique witness, unique investigator, unique evidence. Topic Coverage Score 17/100 indicates little additional improvement. The candidate contributes unique witness, unique investigator, unique evidence; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Somewhere in the Skies,9,Somewhere in the Skies Episode #9 — Andrew Sanford: Flying Saucers v.s. The Half White Son of a Black Man,2017-somewhere-in-the-skies-episode-9,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique evidence; historical context,,Adds complementary perspective,No material redundancy identified,17,Deepens existing research; Adds unique evidence; Improves chronology,needs_review,fail,not_applicable,"This episode deepens the UFO History destination topic. it contributes unique evidence, historical context. Topic Coverage Score 17/100 indicates little additional improvement. The candidate contributes unique evidence, historical context; it fills no identified coverage gap.",low,do_not_recommend,pending,
UFO History,Need to Know,11,Need to Know Episode #11 — UFOs and Rock Stars,2022-need-to-know-episode-11,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",uncertain,possible improvement requiring human review,unique evidence; historical context,missing podcast series; witness/investigator diversity; organization/investigation coverage; chronology,Adds complementary perspective,No material redundancy identified,49,Broadens topic coverage; Deepens existing research; Adds unique evidence; Adds unique witness; Improves chronology; Strengthens cross-series research; Fills research gap,fail,needs_review,not_applicable,"This episode broadens and deepens the UFO History destination topic. it contributes unique evidence, historical context; it fills gaps in missing podcast series, witness/investigator diversity, organization/investigation coverage, chronology. Topic Coverage Score 49/100 indicates possible improvement requiring human review. The candidate contributes unique evidence, historical context; it fills missing podcast series, witness/investigator diversity, organization/investigation coverage, chronology.",low,do_not_recommend,pending,
UFO History,Need to Know,12,Need to Know Episode #12 — Congressional UFO Hearings,2022-need-to-know-episode-12,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",uncertain,possible improvement requiring human review,unique evidence; historical context; primary-source discussion,missing podcast series; witness/investigator diversity; document coverage; chronology,Adds complementary perspective,No material redundancy identified,52,Broadens topic coverage; Deepens existing research; Adds unique evidence; Adds unique witness; Improves chronology; Strengthens cross-series research; Fills research gap,fail,needs_review,not_applicable,"This episode broadens and deepens the UFO History destination topic. it contributes unique evidence, historical context, primary-source discussion; it fills gaps in missing podcast series, witness/investigator diversity, document coverage, chronology. Topic Coverage Score 52/100 indicates possible improvement requiring human review. The candidate contributes unique evidence, historical context, primary-source discussion; it fills missing podcast series, witness/investigator diversity, document coverage, chronology.",low,do_not_recommend,pending,
UFO History,Need to Know,13,Need to Know Episode #13 — Bryce’s Rant,2022-need-to-know-episode-13,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",no,little additional improvement,unique evidence,missing podcast series; witness/investigator diversity,Adds complementary perspective,No material redundancy identified,30,Broadens topic coverage; Deepens existing research; Adds unique evidence; Adds unique witness; Strengthens cross-series research; Fills research gap,fail,fail,not_applicable,"This episode broadens and deepens the UFO History destination topic. it contributes unique evidence; it fills gaps in missing podcast series, witness/investigator diversity. Topic Coverage Score 30/100 indicates little additional improvement. The candidate contributes unique evidence; it fills missing podcast series, witness/investigator diversity.",low,do_not_recommend,pending,
UFO History,Need to Know,15,Need to Know Episode #15 — Estimate of the Situation,2022-need-to-know-episode-15,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",yes,material improvement,unique evidence; historical context; technical analysis; competing interpretation; primary-source discussion,missing podcast series; witness/investigator diversity; document coverage; organization/investigation coverage; chronology,Adds complementary perspective,No material redundancy identified,66,Broadens topic coverage; Deepens existing research; Adds unique evidence; Adds unique witness; Improves chronology; Strengthens cross-series research; Fills research gap,pass,pass,not_applicable,"This episode broadens and deepens the UFO History destination topic. it contributes unique evidence, historical context, technical analysis; it fills gaps in missing podcast series, witness/investigator diversity, document coverage, organization/investigation coverage, chronology. Topic Coverage Score 66/100 indicates material improvement. The candidate contributes unique evidence, historical context, technical analysis; it fills missing podcast series, witness/investigator diversity, document coverage, organization/investigation coverage, chronology.",medium,recommend_approval,pending,
UFO History,Need to Know,16,Need to Know Episode #16 — Summer of the Saucers,2022-need-to-know-episode-16,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",uncertain,possible improvement requiring human review,unique evidence; historical context; primary-source discussion,missing podcast series; witness/investigator diversity; document coverage; chronology,Adds complementary perspective,No material redundancy identified,52,Broadens topic coverage; Deepens existing research; Adds unique evidence; Adds unique witness; Improves chronology; Strengthens cross-series research; Fills research gap,fail,needs_review,not_applicable,"This episode broadens and deepens the UFO History destination topic. it contributes unique evidence, historical context, primary-source discussion; it fills gaps in missing podcast series, witness/investigator diversity, document coverage, chronology. Topic Coverage Score 52/100 indicates possible improvement requiring human review. The candidate contributes unique evidence, historical context, primary-source discussion; it fills missing podcast series, witness/investigator diversity, document coverage, chronology.",low,do_not_recommend,pending,
UFO History,Need to Know,17,Need to Know Episode #17 — Beyond Nimitz,2022-need-to-know-episode-17,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",yes,material improvement,unique witness; unique evidence; historical context; primary-source discussion,missing podcast series; witness/investigator diversity; chronology; recognized Case coverage,Adds complementary perspective,No material redundancy identified,60,Broadens topic coverage; Deepens existing research; Adds unique evidence; Adds unique witness; Improves chronology; Strengthens cross-series research; Fills research gap,fail,pass,not_applicable,"This episode broadens and deepens the UFO History destination topic. It is already connected to 2004 Nimitz Encounter; it contributes unique witness, unique evidence, historical context; it fills gaps in missing podcast series, witness/investigator diversity, chronology, recognized Case coverage. Topic Coverage Score 60/100 indicates material improvement. The candidate contributes unique witness, unique evidence, historical context; it fills missing podcast series, witness/investigator diversity, chronology, recognized Case coverage.",low,do_not_recommend,pending,
UFO History,Need to Know,21,Need to Know Episode #21 — UFOlogy Must Die?,2022-need-to-know-episode-21,10 existing related entities; 10 episodes across 1 podcast series; 0 recognized cases; 0 linked people; 0 documents; 0 organizations; 1 explicit years.,established content base,"missing podcast series: MERGED, Need to Know, WEAPONIZED; limited witness/investigator diversity; limited document coverage; limited organization/investigation coverage; limited explicit chronology",uncertain,possible improvement requiring human review,unique evidence; historical context; technical analysis; primary-source discussion,missing podcast series; witness/investigator diversity,Adds complementary perspective,No material redundancy identified,41,Broadens topic coverage; Deepens existing research; Adds unique evidence; Adds unique witness; Improves chronology; Strengthens cross-series research; Fills research gap,pass,needs_review,not_applicable,"This episode broadens and deepens the UFO History destination topic. it contributes unique evidence, historical context, technical analysis; it fills gaps in missing podcast series, witness/investigator diversity. Topic Coverage Score 41/100 indicates possible improvement requiring human review. The candidate contributes unique evidence, historical context, technical analysis; it fills missing podcast series, witness/investigator diversity.",medium,human_review_needed,pending,
