Entity Name,Entity ID,Entity Type,Curator-Approved Entity Type,Destination Eligibility,Destination Tier,Navigation Prominence,Entity-Type Baseline,Entity Worthiness Score,Entity-Type Percentile,Research Value Narrative,Supporting Evidence,Justification,Human Recommendation,Human Decision
2024 UK Military Airspace Incursions,uk-military-airspace-incursions-2024,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Frequently Recommended,case,60,80.0,"2024 UK Military Airspace Incursions is evaluated against the case baseline. It has 2 related entities, 3 relationship types, 1 source or official-link references, and a type-weighted score of 60/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 2 outbound; 2 related entities; 1 references,"2024 UK Military Airspace Incursions is evaluated against the case baseline. It has 2 related entities, 3 relationship types, 1 source or official-link references, and a type-weighted score of 60/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
2025 Yemen Hellfire UAP Video,2025-yemen-hellfire-uap-video,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,56,67.5,"2025 Yemen Hellfire UAP Video is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 56/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 0 outbound; 1 related entities; 2 references,"2025 Yemen Hellfire UAP Video is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 56/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Alleged 1997 Peru Crash Encounter,1997-peru-crash-claim,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Frequently Recommended,case,56,70.0,"Alleged 1997 Peru Crash Encounter is evaluated against the case baseline. It has 4 related entities, 4 relationship types, 0 source or official-link references, and a type-weighted score of 56/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",5 inbound; 1 outbound; 4 related entities; 0 references,"Alleged 1997 Peru Crash Encounter is evaluated against the case baseline. It has 4 related entities, 4 relationship types, 0 source or official-link references, and a type-weighted score of 56/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Alleged 2009 Indonesia Craft Encounter,2009-indonesia-craft-claim,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Frequently Recommended,case,56,72.5,"Alleged 2009 Indonesia Craft Encounter is evaluated against the case baseline. It has 3 related entities, 4 relationship types, 0 source or official-link references, and a type-weighted score of 56/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",4 inbound; 1 outbound; 3 related entities; 0 references,"Alleged 2009 Indonesia Craft Encounter is evaluated against the case baseline. It has 3 related entities, 4 relationship types, 0 source or official-link references, and a type-weighted score of 56/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Alleged Classified Autopsy Program,alien-autopsy-program-claims,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,50,27.5,"Alleged Classified Autopsy Program is evaluated against the case baseline. It has 2 related entities, 2 relationship types, 0 source or official-link references, and a type-weighted score of 50/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",2 inbound; 0 outbound; 2 related entities; 0 references,"Alleged Classified Autopsy Program is evaluated against the case baseline. It has 2 related entities, 2 relationship types, 0 source or official-link references, and a type-weighted score of 50/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Alleged S-4 Facility,s4-facility-claim,case,Yes,Qualifies as a destination,Tier 1 — Core Research Destination,Featured Research Gateway,case,70,95.0,"Alleged S-4 Facility is evaluated against the case baseline. It has 14 related entities, 5 relationship types, 0 source or official-link references, and a type-weighted score of 70/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",14 inbound; 0 outbound; 14 related entities; 0 references,"Alleged S-4 Facility is evaluated against the case baseline. It has 14 related entities, 5 relationship types, 0 source or official-link references, and a type-weighted score of 70/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Area 51,area-51,case,Yes,Qualifies as a destination,Tier 1 — Core Research Destination,Featured Research Gateway,case,75,97.5,"Area 51 is evaluated against the case baseline. It has 15 related entities, 6 relationship types, 0 source or official-link references, and a type-weighted score of 75/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",15 inbound; 0 outbound; 15 related entities; 0 references,"Area 51 is evaluated against the case baseline. It has 15 related entities, 6 relationship types, 0 source or official-link references, and a type-weighted score of 75/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Big Sur Missile Film Claim,big-sur-missile-film-claim,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,43,12.5,"Big Sur Missile Film Claim is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 43/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 0 outbound; 1 related entities; 0 references,"Big Sur Missile Film Claim is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 43/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Calvine Ufo,calvine-ufo,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,34,2.5,"Calvine Ufo is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 34/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 0 outbound; 1 related entities; 0 references,"Calvine Ufo is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 34/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Colares UFO Incidents,colares-ufo-incidents,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,55,57.5,"Colares UFO Incidents is evaluated against the case baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 55/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 1 outbound; 2 related entities; 1 references,"Colares UFO Incidents is evaluated against the case baseline. It has 2 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 55/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
David Adair Area 51 Engine Claim,1960s-area-51-engine-claim,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,51,30.0,"David Adair Area 51 Engine Claim is evaluated against the case baseline. It has 3 related entities, 3 relationship types, 0 source or official-link references, and a type-weighted score of 51/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",3 inbound; 0 outbound; 3 related entities; 0 references,"David Adair Area 51 Engine Claim is evaluated against the case baseline. It has 3 related entities, 3 relationship types, 0 source or official-link references, and a type-weighted score of 51/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Eglin Runway UAP Incident,eglin-runway-uap-incident,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,54,47.5,"Eglin Runway UAP Incident is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 54/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 0 outbound; 1 related entities; 2 references,"Eglin Runway UAP Incident is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 54/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Kona Blue Proposed UAP Program,kona-blue-program,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Frequently Recommended,case,60,82.5,"Kona Blue Proposed UAP Program is evaluated against the case baseline. It has 3 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 60/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 2 outbound; 3 related entities; 1 references,"Kona Blue Proposed UAP Program is evaluated against the case baseline. It has 3 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 60/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Large Disc UAP Video,2025-large-disc-uap-video,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,54,50.0,"Large Disc UAP Video is evaluated against the case baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 54/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 1 outbound; 1 related entities; 1 references,"Large Disc UAP Video is evaluated against the case baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 54/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Malmstrom Missile Incident,malmstrom-missile-incident,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,48,25.0,"Malmstrom Missile Incident is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 48/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 0 outbound; 1 related entities; 0 references,"Malmstrom Missile Incident is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 48/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Nazca Mummies,nazca-mummies,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,30,0.0,"Nazca Mummies is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 30/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 0 outbound; 1 related entities; 0 references,"Nazca Mummies is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 30/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Nuclear Facility Uap Incidents,nuclear-facility-uap-incidents,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,34,5.0,"Nuclear Facility Uap Incidents is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 34/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 0 outbound; 1 related entities; 0 references,"Nuclear Facility Uap Incidents is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 34/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Queensland Saucer Nests,queensland-saucer-nests,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,53,42.5,"Queensland Saucer Nests is evaluated against the case baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 53/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 1 outbound; 1 related entities; 1 references,"Queensland Saucer Nests is evaluated against the case baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 53/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Rendlesham Forest Incident,rendlesham-forest-incident,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,54,52.5,"Rendlesham Forest Incident is evaluated against the case baseline. It has 3 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 54/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",3 inbound; 0 outbound; 3 related entities; 0 references,"Rendlesham Forest Incident is evaluated against the case baseline. It has 3 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 54/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Roswell Incident,roswell-incident,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Frequently Recommended,case,65,87.5,"Roswell Incident is evaluated against the case baseline. It has 7 related entities, 5 relationship types, 0 source or official-link references, and a type-weighted score of 65/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",7 inbound; 0 outbound; 7 related entities; 0 references,"Roswell Incident is evaluated against the case baseline. It has 7 related entities, 5 relationship types, 0 source or official-link references, and a type-weighted score of 65/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
September 2025 House UAP Hearing,2025-house-uap-hearing,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Frequently Recommended,case,56,75.0,"September 2025 House UAP Hearing is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 56/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 0 outbound; 1 related entities; 2 references,"September 2025 House UAP Hearing is evaluated against the case baseline. It has 1 related entities, 1 relationship types, 2 source or official-link references, and a type-weighted score of 56/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Skinwalker Ranch,skinwalker-ranch,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Frequently Recommended,case,63,85.0,"Skinwalker Ranch is evaluated against the case baseline. It has 9 related entities, 4 relationship types, 0 source or official-link references, and a type-weighted score of 63/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",9 inbound; 0 outbound; 9 related entities; 0 references,"Skinwalker Ranch is evaluated against the case baseline. It has 9 related entities, 4 relationship types, 0 source or official-link references, and a type-weighted score of 63/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
South Pole Technology Claims,south-pole-technology-claims,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Frequently Recommended,case,58,77.5,"South Pole Technology Claims is evaluated against the case baseline. It has 3 related entities, 4 relationship types, 0 source or official-link references, and a type-weighted score of 58/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",3 inbound; 1 outbound; 3 related entities; 0 references,"South Pole Technology Claims is evaluated against the case baseline. It has 3 related entities, 4 relationship types, 0 source or official-link references, and a type-weighted score of 58/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Soviet and Russian Military UFO Investigations,russian-military-ufo-investigation,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,55,60.0,"Soviet and Russian Military UFO Investigations is evaluated against the case baseline. It has 2 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 55/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",2 inbound; 0 outbound; 2 related entities; 0 references,"Soviet and Russian Military UFO Investigations is evaluated against the case baseline. It has 2 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 55/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Syria Uap 2021,syria-uap-2021,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,40,10.0,"Syria Uap 2021 is evaluated against the case baseline. It has 3 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 40/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",3 inbound; 0 outbound; 3 related entities; 0 references,"Syria Uap 2021 is evaluated against the case baseline. It has 3 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 40/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Twentynine Palms Triangle Incident,twentynine-palms-triangle-incident,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,54,55.0,"Twentynine Palms Triangle Incident is evaluated against the case baseline. It has 2 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 54/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",2 inbound; 0 outbound; 2 related entities; 0 references,"Twentynine Palms Triangle Incident is evaluated against the case baseline. It has 2 related entities, 1 relationship types, 0 source or official-link references, and a type-weighted score of 54/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
Vandenberg Red Square UAP Incident,vandenberg-red-square-uap,case,Yes,Qualifies as a destination,Tier 2 — Research Destination,Search-Driven Discovery,case,52,37.5,"Vandenberg Red Square UAP Incident is evaluated against the case baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 52/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.",1 inbound; 1 outbound; 1 related entities; 1 references,"Vandenberg Red Square UAP Incident is evaluated against the case baseline. It has 1 related entities, 2 relationship types, 1 source or official-link references, and a type-weighted score of 52/100. Its entity type is curator-approved, so destination eligibility is retained and the audit evaluates quality, tier, and prominence only.","Retain destination; review tier, prominence, completeness, and relationship quality",pending
